,EVTYPE,INJURIES,FATALITIES,smoothed_injuries,smoothed_fatalities
834,TORNADO,91346,5633,11.4224097732,8.6363974389
856,TSTM WIND,6957,504,8.8475036259,6.2225762681
170,FLOOD,6789,470,8.8230589343,6.1527326947
130,EXCESSIVE HEAT,6525,1903,8.7833962322,7.5511868673
464,LIGHTNING,5230,816,8.5621665571,6.704414355
275,HEAT,2100,937,7.6496926237,6.8426832822
427,ICE STORM,1975,89,7.5883236773,4.4886363697
153,FLASH FLOOD,1777,978,7.4826818282,6.88550967
760,THUNDERSTORM WIND,1488,133,7.3051882154,4.8903491282
244,HAIL,1361,15,7.2159750027,2.7080502011
972,WINTER STORM,1321,206,7.1861443045,5.3278761688
411,HURRICANE/TYPHOON,1275,64,7.1507014576,4.1588830834
359,HIGH WIND,1137,248,7.0361484938,5.5134287462
310,HEAVY SNOW,1021,127,6.9285378182,4.8441870865
957,WILDFIRE,911,75,6.8145428973,4.3174881135
786,THUNDERSTORM WINDS,908,64,6.8112443786,4.1588830834
30,BLIZZARD,805,101,6.6908422774,4.6151205168
188,FOG,734,62,6.5985090286,4.127134385
955,WILD/FOREST FIRE,545,12,6.3007857947,2.4849066498
117,DUST STORM,440,22,6.0867747269,3.0910424534
978,WINTER WEATHER,398,33,5.9864520053,3.4965075615
89,DENSE FOG,342,18,5.8348107371,2.8903717579
848,TROPICAL STORM,340,58,5.8289456176,4.0604430105
278,HEAT WAVE,309,172,5.7333412769,5.1474944768
376,HIGH WINDS,302,35,5.7104270174,3.5553480615
586,RIP CURRENTS,297,204,5.6937321388,5.3181199938
676,STRONG WIND,280,103,5.6347896032,4.6347289882
290,HEAVY RAIN,251,98,5.5254529391,4.5849674787
585,RIP CURRENT,232,368,5.4467373717,5.9080829382
140,EXTREME COLD,231,160,5.4424177105,5.0751738152
222,GLAZE,216,7,5.3752784077,1.9459101491
19,AVALANCHE,170,224,5.1357984371,5.4116460519
142,EXTREME HEAT,155,96,5.0434251169,4.5643481915
350,HIGH SURF,152,101,5.0238805208,4.6151205168
954,WILD FIRES,150,3,5.0106352941,1.0986122887
417,ICE,137,6,4.9199809258,1.7917594692
877,TSUNAMI,129,33,4.8598124044,3.4965075615
873,TSTM WIND/HAIL,95,5,4.5538768916,1.6094379124
960,WIND,86,23,4.4543472963,3.1354942159
919,URBAN/SML STREAM FLD,79,28,4.3694478525,3.3322045102
984,WINTRY MIX,77,1,4.3438054219,0
980,WINTER WEATHER/MIX,72,28,4.276666119,3.3322045102
277,Heat Wave,70,0,4.248495242,0
979,WINTER WEATHER MIX,68,0,4.2195077052,0
442,LANDSLIDE,52,38,3.9512437186,3.6375861597
557,RECORD HEAT,50,2,3.9120230054,0.6931471806
342,HEAVY SURF/HIGH SURF,48,42,3.8712010109,3.7376696183
66,COLD,48,35,3.8712010109,3.5553480615
402,HURRICANE,46,61,3.8286413965,4.1108738642
851,TROPICAL STORM GORDON,43,8,3.7612001157,2.0794415417
943,WATERSPOUT/TORNADO,42,3,3.7376696183,1.0986122887
115,DUST DEVIL,42,2,3.7376696183,0.6931471806
339,HEAVY SURF,40,7,3.6888794541,1.9459101491
670,STORM SURGE,38,13,3.6375861597,2.5649493575
